#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0       -5.72519     0.00968341        4127.75      30
#indices  rapidity(ita)            phi             pt
    7433        -1.8784        1.37199         22.442
    8379       -3.36896        1.35158        7.25998
    9928       -3.35412        1.42056        22.2507
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0      -0.801698       0.784247        13569.4     187
#indices  rapidity(ita)            phi             pt
   11223      -0.957517       0.785475        57.3523
   13373      -0.641514       0.785398        3656.83
   13493      -0.648892        0.78567        42.0961
   11368        0.62471       0.785402         11.852
   10733        0.60426       0.785467        11.8849
   11213       0.606126       0.785506        12.0515
   10858       0.777865       0.785464        10.0222
   10437         5.1343       0.766716        31.7106
   10248        5.16094       0.843216       0.129159
   13690        5.17956       0.867551        0.26209
   10708       -4.53394       0.802942        3.45011
   10624     -0.0107129       0.790578        1.71673
   13388     -0.0254769       0.785399        216.767
   12170       -5.74695       0.498139       0.112097
   13242       -5.75236       0.663993        35.6988
   12323      -0.382691       0.785455        32.4057
   12623      -0.369479       0.785399        32.0321
   10288      -0.410742       0.785398        3335.31
   11633        2.77463       0.820351        1.34782
   13772        2.79136       0.815155        30.2268
   12068       -1.85658       0.786275        33.0145
   12088       -1.87516       0.788066        32.2628
   11128       -1.76017       0.787124        36.2846
   12477       -4.01329        0.78001        31.2817
   13518       -4.09404       0.845532        3.53291
   12506       0.419061       0.876703        34.3917
   12010       0.456751       0.944477        1.29605
   12360       0.499692       0.999018       0.209687
   12048       0.396009       0.785413         141.91
   13693       0.436707       0.785552        14.1807
   12093       -1.49387       0.785978        47.3093
   13565        -1.4621       0.696823       0.980639
   11218       -1.34179       0.785418        84.2876
   13433       -1.37498       0.785471        85.6744
   11820       -1.29779        0.26683        0.63263
   12566       -1.39217       0.296037        23.0005
   11445      -0.402638         0.3971      0.0685384
   11730       -6.66986       0.555411      0.0832516
   13312       -6.72816       0.479705        47.6689
   11890      -0.152425       0.529417        0.60652
   11322      -0.262862       0.489469        29.7772
   11405      -0.232044       0.439225     0.00814978
   11432       -3.72035        1.07044        25.0738
   12155       -3.72824        1.04352        2.52808
   10670       -1.17125        1.15205        3.84812
   13740       -1.31522         1.1423       0.105269
   12508       -1.75537        1.06299        36.4805
   11930       -1.86223        1.10678      0.0747264
   11732        4.09057        1.05476        25.2938
   12630        4.20671        1.07701      0.0647679
   11353       -2.39815       0.785744         1.0226
   13103       -2.52913       0.785399        276.104
   10843        -3.0968       0.785883        9.52822
   11123       -3.07198        0.79821        9.75467
   12873       -2.95369       0.785992        11.0155
   10188       -3.00352       0.826274        10.3957
   13488       -2.99695       0.785707        10.5593
   10628        -4.2091        1.05437        4.91073
   11723       -4.17844        1.04824        3.75261
   12058       -4.18925       0.789924        3.19769
   10723       -4.27937       0.788699        2.92508
   10640       -4.25229       0.683196       0.331884
   12333       -4.24225       0.789376        3.03532
   10243       -4.47465       0.935742         3.6629
   12160       -4.37383       0.596748        2.05173
   10318       -4.39752       0.854426        2.59497
   13468       -4.37958       0.788071        2.65093
   12788       -4.33588       0.830202        2.76549
   13503       -4.33286       0.789665        2.76605
   10853       -1.10397       0.785405        69.8143
   11555       -1.21561       0.620348       0.121598
   13310       -1.11614        0.57285      0.0447513
   11708        1.64901       0.793906        3.85464
   13133        1.70366       0.786047        4.00931
   10598        1.52144       0.785443        46.1784
   11343        1.54294       0.785695          4.699
   13313        1.54631       0.785434        4.74352
   10573         1.5499       0.796958        4.53936
   10828        1.55669       0.796054        4.50724
   10795         1.1405       0.578836       0.888234
   10800         1.1465       0.522872        1.95763
   11363        1.15551       0.785403        6.97149
   11383         1.0996       0.785567        7.29225
   13123         1.0535        0.78563        7.59783
   11968      -0.578313       0.785398        375.955
   10728      -0.947965       0.785399         56.827
   10278      -0.943916       0.785403        82.0858
   11978      -0.943476       0.785411        81.8071
   10383       -2.66905       0.968071        56.9397
   12608       -2.77131        1.04706        14.3617
   13165       -2.80547         0.9294       0.776696
   13835       -2.89665       0.979523       0.111456
   10538       0.341023         0.9568        13.0882
   10214       0.179255       0.967362        3.35515
   11570       0.178945       0.924836          0.442
   12118        6.59169       0.941386       0.288527
   13542        6.57303       0.977285        156.819
   12355       0.369643        1.06692       0.287149
   10544     -0.0062188        1.04817        1.05422
   10799     0.00449732        1.05566        0.62579
   11282        6.01859        1.00222        26.1075
   12398        6.00149       0.806311      0.0543834
   11372         5.3676       0.968435         26.699
   13678         5.3585       0.922408       0.104183
   10942        4.40352        1.05086          25.35
   13073        4.44809         1.2024       0.257221
   10528       -1.16652       0.967201        65.1335
   11323        1.82829        1.06717        78.4393
   11808        1.92374        1.05041        5.91744
   10255        1.44953       0.603123       0.769974
   13670        1.57163       0.503394      0.0848503
   10512        4.87121       0.659241        35.9173
   11225        4.83308       0.640432        1.17389
   10838        1.43456       0.785797        50.2857
   13668        1.44724       0.789004        5.12621
   10863         1.3866       0.785439        52.7217
   13098        1.40257       0.785981        5.36297
   10208        1.11361       0.910882        49.8038
   12503        1.11876       0.955038       0.864363
   12633        1.21899       0.814411        6.40223
   12678        1.26492       0.785523         90.479
   13510        1.21407       0.710463        2.36316
   10583        1.28947       0.799566        5.87686
   13113        1.31711       0.788506        5.98772
   13153        1.30415       0.785474        5.95423
   12108        1.33431       0.827098        5.77924
   11983        1.34314       0.785491         54.994
   13118        1.34203       0.787406        5.89564
   10151       0.309358       0.664822        20.3297
   11844      0.0140365       0.676439        2.93044
   12029     -0.0187527       0.640011        2.24297
   11238       0.337406       0.789368        16.0473
   12780       0.314464       0.742927       0.762811
   13148       0.320589       0.785414         15.995
   12073       0.331424       0.787176        15.8052
   12328       0.326549       0.785532        15.7161
   12645       0.167413       0.594881      0.0727903
